idRisultato,gara,posizionePartenza,posizioneArrivo,ritiro,tempoTotale,giroVeloce,giriInTesta
0000290,000012,28,24,0,00:00:00,00:00:00,0
0000291,000012,27,25,0,00:00:00,00:00:00,0
0000292,000012,29,26,0,00:00:00,00:00:00,0
0000293,000012,16,27,1,00:00:00,00:00:00,0
0000294,000012,19,28,1,00:00:00,00:00:00,0
0000295,000012,4,29,1,00:00:00,00:00:00,0
0000296,000013,4,1,0,00:00:00,00:00:00,0
0000297,000013,7,2,0,00:00:00,00:00:00,0
0000298,000013,13,3,0,00:00:00,00:00:00,0
0000299,000013,3,4,0,00:00:00,00:00:00,0
0000300,000013,2,5,0,00:00:00,00:00:00,0
0000301,000013,20,6,0,00:00:00,00:00:00,0
0000302,000013,12,7,0,00:00:00,00:00:00,0
0000303,000013,8,8,0,00:00:00,00:00:00,0
0000304,000013,10,9,0,00:00:00,00:00:00,0
0000305,000013,6,10,0,00:00:00,00:00:00,0
0000306,000013,19,11,0,00:00:00,00:00:00,0
0000307,000013,11,12,0,00:00:00,00:00:00,0
0000308,000013,18,13,0,00:00:00,00:00:00,0
0000309,000013,15,14,0,00:00:00,00:00:00,0
0000310,000013,5,15,0,00:00:00,00:00:00,0
0000311,000013,21,16,0,00:00:00,00:00:00,0
0000312,000013,14,17,0,00:00:00,00:00:00,0
0000313,000013,17,18,0,00:00:00,00:00:00,0
0000314,000013,16,19,0,00:00:00,00:00:00,0
0000315,000013,26,20,0,00:00:00,00:00:00,0
0000316,000013,22,21,0,00:00:00,00:00:00,0
0000317,000013,23,22,0,00:00:00,00:00:00,0
0000318,000013,24,23,0,00:00:00,00:00:00,0
0000319,000013,28,24,0,00:00:00,00:00:00,0
0000320,000013,27,25,0,00:00:00,00:00:00,0
0000321,000013,29,26,1,00:00:00,00:00:00,0
0000322,000013,1,27,1,00:00:00,00:00:00,0
0000323,000013,25,28,1,00:00:00,00:00:00,0
0000324,000013,9,29,1,00:00:00,00:00:00,0
0000325,000014,6,1,0,00:00:00,00:00:00,0
0000326,000014,7,2,0,00:00:00,00:00:00,0
0000327,000014,8,3,0,00:00:00,00:00:00,0
0000328,000014,12,4,0,00:00:00,00:00:00,0
0000329,000014,5,5,0,00:00:00,00:00:00,0
0000330,000014,3,6,0,00:00:00,00:00:00,0
0000331,000014,17,7,0,00:00:00,00:00:00,0
0000332,000014,4,8,0,00:00:00,00:00:00,0
0000333,000014,9,9,0,00:00:00,00:00:00,0
0000334,000014,11,10,0,00:00:00,00:00:00,0
0000335,000014,16,11,0,00:00:00,00:00:00,0
0000336,000014,18,12,0,00:00:00,00:00:00,0
0000337,000014,15,13,0,00:00:00,00:00:00,0
0000338,000014,10,14,0,00:00:00,00:00:00,0
0000339,000014,22,15,0,00:00:00,00:00:00,0
0000340,000014,25,16,0,00:00:00,00:00:00,0
